Test case ID,Test case description,AADHAR,NAME,PAN,UAM,CIBIL,CRIF,DOB (MM/DD/YYYY),CHEQUE RETURNS- insufficient funds(ISF),CHEQUE RETURN- any other reason,Month 1 avg balance,Month 2 avg balance,Month 3 avg balance,Month 4 avg balance,Month 5 avg balance,Month 6 avg balance,20% of avg 6 month balance < 50000,Expected result,Actual result,Comments
,,,,,,,,,,,,,,,,,,,,
1,Positive cases,257104864328,Pranav H,BNZPM2501F,GJ11A0000170,743,702,12/12/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
2,One chq return for other reason,257104864329,Nikhil N,BNZPM2501G,GJ11A0000171,743,702,10/19/1993,0,1,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
3,Two chq return for other reason,257104864330,Shashank R,BNZPM2501H,GJ11A0000172,743,702,2/22/1993,0,2,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
4,Three chq return for other reason,257104864331,Rashmika Balan,BNZPM2501I,GJ11A0000173,743,702,1/19/1993,0,3,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
5,CIBIL score 743+1,257104864332,Latika Agate,BNZPM2501J,GJ11A0000174,744,702,1/6/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
6,CIBIL score more than 743,257104864333,Javas Babu,BNZPM2501K,GJ11A0000175,800,702,5/12/1993,0,3,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
7,CRIF score 702+1,257104864334,Radha Batra,BNZPM2501L,GJ11A0000176,743,703,11/19/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
8,CRIF score more than 702,257104864335,Ayodhya Baria,BNZPM2501M,GJ11A0000177,743,789,1/11/1993,0,3,100000,90000,120000,85000,170000,160000,120833.3333,Eligible,,
9,"20% of 6 month avg monthly balance=50,000/-",257104864336,Minda Chatterjee,BNZPM2501N,GJ11A0000178,743,789,10/21/1993,0,3,250000,250000,250000,250000,250000,250000,250000,Eligible,,
10,"20% of 6 month avg monthly balance<50,000/-",257104864337,Devayani Gole,BNZPM2501O,GJ11A0000179,743,789,7/2/1993,0,3,200000,250000,250000,250000,250000,250000,241666.6667,Eligible,,
11,"20% of 6 month avg monthly balance<50,000/-",257104864338,Daksha Mammen,BNZPM2501P,GJ11A0000180,743,789,3/7/1993,0,3,100000,100000,50000,79000,45670,250000,104111.6667,Eligible,,
,,,,,,,,,,,,,,,,,,,,
,Negative cases,,,,,,,,,,,,,,,,,,,
,Cheque returns,,,,,,,,,,,,,,,,,,,
12,One Cheque returned -ISF ,257104864339,Varaza Oza,BNZPM2501Q,GJ11A0000181,743,702,10/25/1993,1,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
13,Two Cheque returned -ISF ,257104864340,Vibishana Sheth,BNZPM2501R,GJ11A0000182,743,702,3/18/1993,2,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
14,Ten Cheque returned -ISF ,257104864341,Vivika Gupta,BNZPM2501S,GJ11A0000183,743,702,3/9/1993,10,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
15,More than 3 cheque return for other reasons,257104864342,Quasim Kapadia,BNZPM2501T,GJ11A0000184,743,702,3/10/1993,0,4,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
16,More than 3 cheque return for other reasons and one chq return due to ISF,257104864343,Harischandra Sha,BNZPM2501U,GJ11A0000185,743,702,6/18/1993,1,4,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
17,3 cheque return for other reasons and one chq return due to ISF,257104864344,Vishal Sankar,BNZPM2501V,GJ11A0000186,743,702,11/4/1993,1,3,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
,CIBIL SCORING,,,,,,,,,,,,,,,,,,,
18,CIBIL score less than expected,257104864345,Sanya Mand,BNZPM2501W,GJ11A0000187,742,702,1/4/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
19,CIBIL score less than expected,257104864346,Haripriya Shah,BNZPM2501X,GJ11A0000188,600,702,4/8/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
20,CIBIL score = 0,257104864347,Viveka Chaudhry,BNZPM2501Y,GJ11A0000189,0,702,10/19/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
,CRIF SCORING,,,,,,,,,,,,,,,,0,,,
21,CRIF score less than expected,257104864348,Abhimanyu Kaushal,BNZPM2501Z,GJ11A0000190,743,701,8/16/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
22,CRIF score less than expected,257104864349,Ganesh Mehta,BNZPM2502A,GJ11A0000191,743,600,9/25/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
23,CRIF =0,257104864350,Kunti Varty,BNZPM2502B,GJ11A0000192,743,0,12/27/1993,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
,"20% of 6 month avg monthly balance>50,000/-",,,,,,,,,,,,,,,,,,,
24,"20% of 6 month avg monthly balance>50,000/-",257104864351,Pitri Wali,BNZPM2502C,GJ11A0000193,743,789,3/13/1993,0,3,500000,100000,50000,79000,500000,300000,254833.3333,Ineligible,,
25,"20% of 6 month avg monthly balance>50,000/-",257104864352,Durvasas Bhardwaj,BNZPM2502D,GJ11A0000194,743,789,11/19/1993,0,3,500000,100000,50000,79000,500000,600000,304833.3333,Ineligible,,
26,"20% of 6 month avg monthly balance>50,000/-",257104864353,Kala Dasgupta,BNZPM2502E,GJ11A0000195,743,789,5/26/1993,0,3,500000,100000,500000,790000,500000,100000,415000,Ineligible,,
,,,,,,,,,,,,,,,,,,,,
,DOB ,,,,,,,,,,,,,,,,,,,
27,Age less than 25 years,257104864354,Vasu Deep,BNZPM2502F,GJ11A0000196,743,702,1/17/2000,0,0,100000,90000,120000,85000,170000,160000,120833.3333,Ineligible,,
